at9jg710_abstract	The N - terminal domain of the coronavirus nucleocapsid ( N ) protein adopts a fold resembling a right hand with a flexible , positively charged β - hairpin and a hydrophobic palm .	N - terminal domain of the coronavirus nucleocapsid	fold	USED-TO	accept
at9jg710_abstract	This domain was shown to interact with the genomic RNA for coronavirus infectious bronchitis virus ( IBV ) and severe acute respiratory syndrome coronavirus ( SARS - CoV ) .	domain	genomic RNA for coronavirus infectious bronchitis virus	DO	accept
at9jg710_abstract	Based on its 3D structure , we used site - directed mutagenesis to identify residues essential for the RNA - binding activity of the IBV N protein and viral infectivity .	site - directed mutagenesis	identify residues	USED-TO	accept
at9jg710_abstract	Based on its 3D structure , we used site - directed mutagenesis to identify residues essential for the RNA - binding activity of the IBV N protein and viral infectivity .	identify residues	RNA - binding activity	USED-TO	accept
at9jg710_abstract	Alanine substitution of either Arg-76 or Tyr-94 in the N - terminal domain of IBV N protein led to a significant decrease in its RNA - binding activity and a total loss of the infectivity of the viral RNA to Vero cells .	N - terminal domain of IBV N protein	Alanine substitution	USED-TO	accept
at9jg710_abstract	Alanine substitution of either Arg-76 or Tyr-94 in the N - terminal domain of IBV N protein led to a significant decrease in its RNA - binding activity and a total loss of the infectivity of the viral RNA to Vero cells .	Alanine substitution	decrease in its RNA - binding activity	EFFECT	accept
at9jg710_abstract	Alanine substitution of either Arg-76 or Tyr-94 in the N - terminal domain of IBV N protein led to a significant decrease in its RNA - binding activity and a total loss of the infectivity of the viral RNA to Vero cells .	Alanine substitution	loss of the infectivity of the viral RNA	EFFECT	accept
at9jg710_abstract	In contrast , mutation of amino acid Gln-74 to an alanine , which does not affect the binding activity of the N - terminal domain , showed minimal , if any , detrimental effect on the infectivity of IBV .	mutation of amino acid Gln-74 to an alanine	infectivity of IBV	EFFECT	accept
at9jg710_abstract	This study thus identifies residues critical for RNA binding on the nucleocapsid surface , and presents biochemical and genetic evidence that directly links the RNA binding capacity of the coronavirus N protein to the viral infectivity in cultured cells .	residues	RNA binding on the nucleocapsid surface	USED-TO	accept
at9jg710_abstract	This study thus identifies residues critical for RNA binding on the nucleocapsid surface , and presents biochemical and genetic evidence that directly links the RNA binding capacity of the coronavirus N protein to the viral infectivity in cultured cells .	RNA binding capacity of the coronavirus N protein	viral infectivity in cultured cells	USED-TO	accept
exoc6xvt_abstract	A disease outbreak named COVID-19 , caused by a RNA virus , SARS - CoV-2 has become pandemic with a magnitude , which is daunting to all public health institutions in the absence of specific antiviral treatment .	SARS - CoV-2	COVID-19	EFFECT	accept
exoc6xvt_abstract	Surface glycoprotein and nucleocapsid phosphoprotein are two important proteins of this virus facilitating its entry into host cell and genome replication .	glycoprotein	facilitating its entry into host cell	USED-TO	accept
exoc6xvt_abstract	Surface glycoprotein and nucleocapsid phosphoprotein are two important proteins of this virus facilitating its entry into host cell and genome replication .	nucleocapsid phosphoprotein	genome replication	USED-TO	accept
exoc6xvt_abstract	Small interfering RNA ( siRNA ) is a prospective tool of the RNA interference ( RNAi ) pathway for the control of human viral infections by suppressing viral gene expression through hybridization and neutralization of target complementary mRNA .	Small interfering RNA	RNA interference ( RNAi ) pathway	USED-TO	accept
exoc6xvt_abstract	Small interfering RNA ( siRNA ) is a prospective tool of the RNA interference ( RNAi ) pathway for the control of human viral infections by suppressing viral gene expression through hybridization and neutralization of target complementary mRNA .	suppressing viral gene expression	control of human viral infections	USED-TO	accept
exoc6xvt_abstract	Small interfering RNA ( siRNA ) is a prospective tool of the RNA interference ( RNAi ) pathway for the control of human viral infections by suppressing viral gene expression through hybridization and neutralization of target complementary mRNA .	hybridization	suppressing viral gene expression	USED-TO	accept
exoc6xvt_abstract	Small interfering RNA ( siRNA ) is a prospective tool of the RNA interference ( RNAi ) pathway for the control of human viral infections by suppressing viral gene expression through hybridization and neutralization of target complementary mRNA .	neutralization of target complementary mRNA	suppressing viral gene expression	USED-TO	accept
exoc6xvt_abstract	Small interfering RNA ( siRNA ) is a prospective tool of the RNA interference ( RNAi ) pathway for the control of human viral infections by suppressing viral gene expression through hybridization and neutralization of target complementary mRNA .	RNA interference ( RNAi ) pathway	control of human viral infections	USED-TO	accept
exoc6xvt_abstract	So , in this study , the power of RNA interference technology was harnessed to develop siRNA molecules against specific target genes namely , nucleocapsid phosphoprotein gene and surface glycoprotein gene . Conserved sequence from 139 SARS - CoV-2 strains from around the globe was collected to construct 78 siRNA	RNA interference technology	develop siRNA molecules against specific target genes	USED-TO	accept
exoc6xvt_abstract	So , in this study , the power of RNA interference technology was harnessed to develop siRNA molecules against specific target genes namely , nucleocapsid phosphoprotein gene and surface glycoprotein gene . Conserved sequence from 139 SARS - CoV-2 strains from around the globe was collected to construct 78 siRNA	Conserved sequence from 139 SARS - CoV-2 strains	construct 78 siRNA	USED-TO	accept
exoc6xvt_abstract	that can inactivate nucleocapsid phosphoprotein and surface glycoprotein genes . Finally , through a rigorous filtering process 8 siRNA molecules were selected with exerts the best action .				reject
exoc6xvt_abstract	These predicted siRNAs should effectively silence the genes of SARS - CoV-2 during siRNA mediated treatment assisting in the response against SARS - CoV-2 .	predicted siRNAs	silence the genes of SARS - CoV-2	USED-TO	accept
exoc6xvt_abstract	These predicted siRNAs should effectively silence the genes of SARS - CoV-2 during siRNA mediated treatment assisting in the response against SARS - CoV-2 .	predicted siRNAs	siRNA mediated treatment	USED-TO	accept
i6nzh3vs_abstract	Rotavirus is a major cause of infantile viral gastroenteritis . Rotavirus nonstructural protein 4 ( NSP4 ) has pleiotropic properties and functions in viral morphogenesis as well as pathogenesis .	Rotavirus	infantile viral gastroenteritis	EFFECT	accept
i6nzh3vs_abstract	Rotavirus is a major cause of infantile viral gastroenteritis . Rotavirus nonstructural protein 4 ( NSP4 ) has pleiotropic properties and functions in viral morphogenesis as well as pathogenesis .	Rotavirus nonstructural protein 4	functions in viral morphogenesis	USED-TO	accept
i6nzh3vs_abstract	Rotavirus is a major cause of infantile viral gastroenteritis . Rotavirus nonstructural protein 4 ( NSP4 ) has pleiotropic properties and functions in viral morphogenesis as well as pathogenesis .	Rotavirus nonstructural protein 4	pathogenesis	USED-TO	accept
i6nzh3vs_abstract	Recent reports show that the inhibition of NSP4 expression by small interfering RNAs leads to alteration of the production and distribution of other viral proteins and mRNA synthesis , suggesting that NSP4 also affects virus replication by unknown mechanisms .	small interfering RNAs	inhibition of NSP4 expression	USED-TO	accept
i6nzh3vs_abstract	Recent reports show that the inhibition of NSP4 expression by small interfering RNAs leads to alteration of the production and distribution of other viral proteins and mRNA synthesis , suggesting that NSP4 also affects virus replication by unknown mechanisms .	inhibition of NSP4 expression	alteration of the production and distribution of other viral proteins and mRNA synthesis	EFFECT	accept
i6nzh3vs_abstract	Recent reports show that the inhibition of NSP4 expression by small interfering RNAs leads to alteration of the production and distribution of other viral proteins and mRNA synthesis , suggesting that NSP4 also affects virus replication by unknown mechanisms .	NSP4	affects virus replication	EFFECT	accept
i6nzh3vs_abstract	Recent reports show that the inhibition of NSP4 expression by small interfering RNAs leads to alteration of the production and distribution of other viral proteins and mRNA synthesis , suggesting that NSP4 also affects virus replication by unknown mechanisms .	unknown mechanisms	affects virus replication	USED-TO	accept
i6nzh3vs_abstract	This report describes studies aimed at correlating the localization of intracellular NSP4 in cells with its functions .	localization of intracellular NSP4 in cells	functions	USED-TO	accept
i6nzh3vs_abstract	To be able to follow the localization of NSP4 , we fused the C terminus of full - length NSP4 with the enhanced green fluorescent protein ( EGFP ) and expressed this fusion protein inducibly in a HEK 293-based cell line to avoid possible cytotoxicity .				reject
i6nzh3vs_abstract	NSP4-EGFP was initially localized in the endoplasmic reticulum ( ER ) as documented by Endo H - sensitive glycosylation and colocalization with ER marker proteins . Only a small fraction of NSP4-EGFP colocalized with the ER - Golgi intermediate compartment ( ERGIC ) marker ERGIC-53 .				reject
i6nzh3vs_abstract	NSP4-EGFP did not enter the Golgi apparatus , in agreement with the Endo H sensitivity and a previous report that secretion of an NSP4 cleavage product generated in rotavirus - infected cells is not inhibited by brefeldin A. A significant population of expressed NSP4-EGFP was distributed in novel vesicular structures throughout the cytoplasm , not colocalizing with ER , ERGIC , Golgi , endosomal , or lysosomal markers , thus diverging from known biosynthetic pathways .				reject
i6nzh3vs_abstract	The appearance of vesicular NSP4-EGFP was dependent on intracellular calcium levels , and vesicular NSP4-EGFP colocalized with the autophagosomal marker LC3 .	intracellular calcium levels	vesicular NSP4-EGFP	USED-TO	accept
i6nzh3vs_abstract	The appearance of vesicular NSP4-EGFP was dependent on intracellular calcium levels , and vesicular NSP4-EGFP colocalized with the autophagosomal marker LC3 .	autophagosomal marker LC3	vesicular NSP4-EGFP	USED-TO	accept
i6nzh3vs_abstract	In rotavirus - infected cells , NSP4 colocalized with LC3 in cap - like structures associated with viroplasms , the site of nascent viral RNA replication , suggesting a possible new mechanism for the involvement of NSP4 in virus replication .	NSP4	virus replication	USED-TO	accept
ycldu1vj_abstract	Outbreaks of airborne infectious diseases such as measles or severe acute respiratory syndrome can cause significant public alarm . Where ventilation systems facilitate disease transmission to humans or animals , there exists a need for control measures that provide effective protection while imposing minimal pressure differential .	measles	significant public alarm	EFFECT	accept
ycldu1vj_abstract	Outbreaks of airborne infectious diseases such as measles or severe acute respiratory syndrome can cause significant public alarm . Where ventilation systems facilitate disease transmission to humans or animals , there exists a need for control measures that provide effective protection while imposing minimal pressure differential .	severe acute respiratory syndrome	significant public alarm	EFFECT	accept
ycldu1vj_abstract	Outbreaks of airborne infectious diseases such as measles or severe acute respiratory syndrome can cause significant public alarm . Where ventilation systems facilitate disease transmission to humans or animals , there exists a need for control measures that provide effective protection while imposing minimal pressure differential .	control measures	effective protection	USED-TO	accept
ycldu1vj_abstract	In the present study , viral aerosols in an airstream were subjected to non - thermal plasma ( NTP ) exposure within a packed - bed dielectric barrier discharge reactor .				reject
ycldu1vj_abstract	Comparisons of plaque assays before and after NTP treatment found exponentially increasing inactivation of aerosolized MS2 phage with increasing applied voltage .	increasing applied voltage	increasing inactivation of aerosolized MS2 phage	EFFECT	accept
ycldu1vj_abstract	At 30 kV and an air flow rate of 170 standard liters per minute , a greater than 2.3 log reduction of infective virus was achieved across the reactor . This reduction represented ~2 log of the MS2 inactivated and ~0.35 log physically removed in the packed bed .	30 kV and an air flow rate of 170 standard liters per minute	reduction of infective virus was achieved	EFFECT	accept
ycldu1vj_abstract	Increasing the air flow rate from 170 to 330 liters per minute did not significantly impact virus inactivation effectiveness .				reject
ycldu1vj_abstract	Activated carbon - based ozone filters greatly reduced residual ozone , in some cases down to background levels , while adding less than 20 Pa pressure differential to the 45 Pa differential pressure across the packed bed at the flow rate of 170 standard liters per minute .	Activated carbon - based ozone filters	reduced residual ozone	EFFECT	accept
hkh74m3y_abstract	Feline bocavirus ( FBoV ) is a newly identified bocavirus of cats in the family Parvoviridae . A novel FBoV HRB2015-LDF was first identiﬁed from the cat with severe enteritis in Northeast China , with an overall positive rate of 2.78 % ( 1/36 ) .				reject
hkh74m3y_abstract	Phylogenetic and homologous analysis of the complete genome showed that FBoV HRB2015-LDF was clustered into the FBoV branch and closely related to other FBoVs , with 68.7–97.5 % identities .				reject
hkh74m3y_abstract	And the genes of VP1 , NPA and NS1 shared 70.7–97.6 , 72.4–98.6 and 67.2–98.0 % nucleotide identities with other FBoVs , respectively .				reject
hkh74m3y_abstract	The results suggested that the FBoVs could be divided into two distinct lineages , and the difference of nucleotide identities was > 20–30 % between the lineages .				reject
v9s8xynb_abstract	More than 40 compounds have been formally licensed for clinical use as antiviral drugs , and half of these are used for the treatment of HIV infections .	compounds	antiviral drugs	USED-TO	accept
v9s8xynb_abstract	More than 40 compounds have been formally licensed for clinical use as antiviral drugs , and half of these are used for the treatment of HIV infections .	compounds	treatment of HIV infections	USED-TO	accept
v9s8xynb_abstract	The others have been approved for the therapy of herpesvirus ( HSV , VZV , CMV ) , hepadnavirus ( HBV ) , hepacivirus ( HCV ) and myxovirus ( influenza , RSV ) infections .				reject
v9s8xynb_abstract	New compounds are in clinical development or under preclinical evaluation , and , again , half of these are targeting HIV infections .	compounds	targeting HIV infections	USED-TO	accept
v9s8xynb_abstract	Yet , quite a number of important viral pathogens ( i.e. HPV , HCV , hemorrhagic fever viruses ) remain in need of effective and/or improved antiviral therapies .				reject
uazbc26u_abstract	Danhong injection ( DHI ) is a widely used Chinese Materia Medica standardized product for the clinical treatment of ischemic encephalopathy and coronary heart disease . The bindings of eight natural components in DHI between bovine serum albumin	Danhong injection	clinical treatment of ischemic encephalopathy	USED-TO	accept
uazbc26u_abstract	Danhong injection ( DHI ) is a widely used Chinese Materia Medica standardized product for the clinical treatment of ischemic encephalopathy and coronary heart disease . The bindings of eight natural components in DHI between bovine serum albumin	Danhong injection	coronary heart disease	USED-TO	accept
uazbc26u_abstract	( BSA ) were studied by fluorescence spectroscopy technology and molecular docking . According to the results , the quenching process of salvianolic acid B and hydroxysafflor	molecular docking	BSA	USED-TO	accept
uazbc26u_abstract	yellow A was a static quenching procedure through the analysis of quenching data by the Stern - Volmer equation , the modified Stern - Volmer equation , and the modified Scatchard equation .				reject
