exoc6xvt_abstract_abstract	A disease outbreak named COVID-19 , caused by a RNA virus , SARS - CoV-2 has become pandemic with a magnitude , which is daunting to all public health institutions in the absence of specific antiviral treatment .	SARS - CoV-2	COVID-19	MECHANISM	accept
exoc6xvt_abstract_abstract+	Surface glycoprotein and nucleocapsid phosphoprotein are two important proteins of this virus facilitating its entry into host cell and genome replication .	glycoprotein	facilitating its entry into host cell	MECHANISM	accept
exoc6xvt_abstract_abstract+	Surface glycoprotein and nucleocapsid phosphoprotein are two important proteins of this virus facilitating its entry into host cell and genome replication .	nucleocapsid phosphoprotein	genome replication	MECHANISM	accept
exoc6xvt_abstract_abstract++	Small interfering RNA ( siRNA ) is a prospective tool of the RNA interference ( RNAi ) pathway for the control of human viral infections by suppressing viral gene expression through hybridization and neutralization of target complementary mRNA .	Small interfering RNA	RNA interference ( RNAi ) pathway	MECHANISM	accept
exoc6xvt_abstract_abstract++	Small interfering RNA ( siRNA ) is a prospective tool of the RNA interference ( RNAi ) pathway for the control of human viral infections by suppressing viral gene expression through hybridization and neutralization of target complementary mRNA .	suppressing viral gene expression	control of human viral infections	MECHANISM	accept
exoc6xvt_abstract_abstract++	Small interfering RNA ( siRNA ) is a prospective tool of the RNA interference ( RNAi ) pathway for the control of human viral infections by suppressing viral gene expression through hybridization and neutralization of target complementary mRNA .	hybridization	suppressing viral gene expression	MECHANISM	accept
exoc6xvt_abstract_abstract++	Small interfering RNA ( siRNA ) is a prospective tool of the RNA interference ( RNAi ) pathway for the control of human viral infections by suppressing viral gene expression through hybridization and neutralization of target complementary mRNA .	neutralization of target complementary mRNA	suppressing viral gene expression	MECHANISM	accept
exoc6xvt_abstract_abstract++	Small interfering RNA ( siRNA ) is a prospective tool of the RNA interference ( RNAi ) pathway for the control of human viral infections by suppressing viral gene expression through hybridization and neutralization of target complementary mRNA .	RNA interference ( RNAi ) pathway	control of human viral infections	MECHANISM	accept
exoc6xvt_abstract_abstract+++	So , in this study , the power of RNA interference technology was harnessed to develop siRNA molecules against specific target genes namely , nucleocapsid phosphoprotein gene and surface glycoprotein gene . Conserved sequence from 139 SARS - CoV-2 strains from around the globe was collected to construct 78 siRNA	RNA interference technology	develop siRNA molecules against specific target genes	MECHANISM	accept
exoc6xvt_abstract_abstract+++	So , in this study , the power of RNA interference technology was harnessed to develop siRNA molecules against specific target genes namely , nucleocapsid phosphoprotein gene and surface glycoprotein gene . Conserved sequence from 139 SARS - CoV-2 strains from around the globe was collected to construct 78 siRNA	Conserved sequence from 139 SARS - CoV-2 strains	construct 78 siRNA	MECHANISM	accept
